As Of,Document Create Date,Sales_ID,Material Number,Line Customer Request Date,Delivery Block Item,Delivery Block Description,Quantity Backordered in Base Unit,BackOrderedNetValue_USD,KEY,Rootcause,ETA Full BO,BO Category,Comments
2024-07-26,2024-07-09,36f42b02-3f66,014-VERISURE-BD,2024-07-08,16,,8,120688,RZ0120495765,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-07-26,2024-07-24,e6033fa0-feff,009-CCB-01,2024-07-24,16,,1,5128,US5185520645,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-07-26,2024-07-24,0d7e13ad-1ed4,021-CIDEZYME-01,2024-07-23,16,,1,630,RQ5446291422,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-07-26,2024-07-18,b534936b-4112,004-APTITR-01,2024-07-18,16,,7,36036,HT5776671158,,,SM,
2024-07-26,2024-07-25,f2e05390-be44,016-AEROFLEX-01,2024-07-25,16,,2,4040,TC3882756008,,,SM,
2024-07-26,2024-07-24,10efd14c-e91b,020-CIDEX-TS-01,2024-07-24,16,,4,768,PL1966540670,Other,2024-09-16,WD,"SO: Block 16, Qty 20, pending shipment-CH01-docs (Green light) approval"
2024-07-26,2024-05-03,353369c9-3119,015-VERISURE-MI,2024-05-20,16,,1,1028,AG5560938070,TBD,,SP,TBD
2024-07-26,2024-07-09,7c1b475b-d9a3,020-CIDEX-TS-01,2024-07-09,16,,8,1792,RG6857515139,Other,2024-09-16,WD,"SO: Block 16, Qty 20, pending shipment-CH01-docs (Green light) approval"
2024-07-26,2024-07-04,59e37a65-e500,001-100NX-01,2024-07-04,16,,5,40900,GW4000332695,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-26,2024-07-19,a51f0259-0065,006-TRAYMAT-01,2024-07-19,16,,10,106920,YZ7328258005,,,SM,
2024-07-26,2024-07-02,9c36efa6-96bd,016-AEROFLEX-01,2024-07-02,16,,3,3636,AK7111897256,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-26,2024-07-24,0eaf70bd-6372,014-VERISURE-BD,2024-07-23,16,,3,11910,CS0459266714,Other,2024-08-16,WD,"Block 16, Qty 50, pending customs registrastion approval(`7/29)"
2024-07-26,2024-07-17,b3ac3f37-3d39,003-100S-01,2024-07-17,,,1,7056,QH3560154091,NPI,2024-08-16,SM,"PO 4500016662, in transit"
2024-07-26,2024-07-22,d233da4a-9ca6,009-CCB-01,2024-07-22,16,,12,138456,LF6266010107,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-26,2024-07-24,1275778f-d5fe,020-CIDEX-TS-01,2024-07-23,16,,2,224,NB4200019400,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-07-26,2024-07-10,b0099fee-b3fb,005-APTITRH-01,2024-07-10,16,,7,1001,ZE4876345294,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-26,2024-07-15,9eda5802-497d,009-CCB-01,2024-07-15,16,,5,19230,XK4472392123,,,SM,
2024-07-26,2024-07-17,2b891a63-f34e,016-AEROFLEX-01,2024-07-17,16,,1,404,NP7290828689,0,,SM,0
2024-07-26,2024-06-18,fea47457-2e25,001-100NX-01,2024-06-18,,,1,818,WR8629271428,TBD,,SP,TBD
